Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_A549,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,5.0,6.168987107115225,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,8.0,6.226054339546441,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,9.0,6.280039970403045,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,5.0,6.35926067084213,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,6.0,6.429558174707874,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,7.0,6.495236854618785,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,5.0,6.139183875775351,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,6.0,6.197927751730966,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,7.0,6.226054339546441,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,8.0,6.3059777974469275,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,7.0,6.3059777974469275,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,5.0,6.383246465907858,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,6.0,6.451933805852046,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,5.0,6.451933805852046,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,7.0,6.5162049102924655,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,7.0,6.576593516798139,0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
