Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Num_tails,Num_carbon_in_tail,MolWt,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_A549,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB
25.0,30.0,30.0,1.0,4.973949847,2.0,4.0,5.643087225345703,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,5.222838082,2.0,5.0,5.691574931548456,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,5.471726318,2.0,6.0,5.737819905988713,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,5.720614553,2.0,7.0,5.782020477906833,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,5.969502788,2.0,8.0,5.824349778785418,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,6.218391023,2.0,9.0,5.864959837989714,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,6.467279258,2.0,10.0,5.903984878668844,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,6.716167493,2.0,11.0,5.941543994289965,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,6.965055728,2.0,12.0,5.977743340430821,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,7.213943963,2.0,13.0,6.01267794350718,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,7.462832198,2.0,14.0,6.0464332040682605,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,7.711720434,2.0,15.0,6.079086154535807,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,7.960608669,2.0,16.0,6.11070651800061,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,5.471726318,2.0,4.0,5.737819905988713,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
