Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Comment,Dosage
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,19.46459718,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2706",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.3873675,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2707",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.68246076,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2708",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.82833474,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2709",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,14.02128812,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2710",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,17.01712147,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2711",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.65781575,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2712",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,20.34987096,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2713",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.85778082,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2714",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.17613803,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2715",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.31715245,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2716",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,14.5995359,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2717",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,17.61814833,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2718",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,17.2775286,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2719",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,21.00407112,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2720",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.77588088,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2721",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.04013539,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2722",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.19245476,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2723",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,13.25926179,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2724",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.21769967,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2725",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,15.83275417,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2726",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,19.46459718,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2727",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.77588088,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2728",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.04013539,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2729",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.19245476,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2730",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,13.25926179,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2731",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.21769967,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2732",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,15.83275417,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2733",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,19.46459718,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2734",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.30686477,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2735",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.59793674,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2736",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.74465095,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2737",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,13.92164119,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2738",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.91306346,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2739",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.55047109,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2740",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,20.23562402,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2741",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,13.11135437,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2742",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,12.48975624,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2743",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,12.61823901,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2744",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.1075851,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2745",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,19.16332115,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2746",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,18.86841846,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2747",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,22.64272036,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2748",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.3873675,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2749",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.68246076,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2750",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.82833474,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2751",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,14.02128812,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2752",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,17.01712147,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2753",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.65781575,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2754",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,20.34987096,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2755",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.77588088,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2756",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.04013539,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2757",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.19245476,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2758",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,13.25926179,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2759",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.21769967,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2760",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,15.83275417,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2761",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,19.46459718,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2762",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.77588088,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2763",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.04013539,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2764",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.19245476,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2765",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,13.25926179,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2766",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.21769967,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2767",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,15.83275417,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2768",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,19.46459718,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2769",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.77588088,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2770",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.04013539,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2771",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.19245476,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2772",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,13.25926179,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2773",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,16.21769967,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2774",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,15.83275417,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2775",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,19.46459718,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2776",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.89655679,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2777",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.21681381,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2778",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,11.35743149,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2779",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,14.64689559,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2780",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,17.66716172,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2781",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,17.32804349,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2782",25
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,21.05699789,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2783",25
