Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Dose/Cells
Liu_iphos,25,30,30,1,MDOA,9.969600009,49.848000045000006
Liu_iphos,25,30,30,1,MDOA,10.21848824,51.092441199999996
Liu_iphos,25,30,30,1,MDOA,10.46737648,52.3368824
Liu_iphos,25,30,30,1,MDOA,10.71626471,53.58132355000001
Liu_iphos,25,30,30,1,MDOA,10.96515295,54.825764750000005
Liu_iphos,25,30,30,1,MDOA,11.21404118,56.070205900000005
Liu_iphos,25,30,30,1,MDOA,11.46292942,57.3146471
Liu_iphos,25,30,30,1,MDOA,11.71181765,58.55908825
Liu_iphos,25,30,30,1,MDOA,11.96070589,59.80352945
Liu_iphos,25,30,30,1,MDOA,12.20959413,61.047970649999996
Liu_iphos,25,30,30,1,MDOA,12.45848236,62.292411799999996
Liu_iphos,25,30,30,1,MDOA,10.96515295,54.825764750000005
Liu_iphos,25,30,30,1,MDOA,11.21404118,56.070205900000005
Liu_iphos,25,30,30,1,MDOA,11.46292942,57.3146471
Liu_iphos,25,30,30,1,MDOA,11.71181765,58.55908825
Liu_iphos,25,30,30,1,MDOA,11.96070589,59.80352945
Liu_iphos,25,30,30,1,MDOA,12.20959413,61.047970649999996
Liu_iphos,25,30,30,1,MDOA,12.45848236,62.292411799999996
Liu_iphos,25,30,30,1,MDOA,12.7073706,63.53685300000001
Liu_iphos,25,30,30,1,MDOA,12.95625883,64.78129415
Liu_iphos,25,30,30,1,MDOA,13.20514707,66.02573535
Liu_iphos,25,30,30,1,MDOA,13.4540353,67.27017649999999
Liu_iphos,25,30,30,1,MDOA,13.70292354,68.5146177
Liu_iphos,25,30,30,1,MDOA,13.95181177,69.75905885
Liu_iphos,25,30,30,1,MDOA,12.45848236,62.292411799999996
Liu_iphos,25,30,30,1,MDOA,12.7073706,63.53685300000001
Liu_iphos,25,30,30,1,MDOA,12.95625883,64.78129415
Liu_iphos,25,30,30,1,MDOA,13.20514707,66.02573535
Liu_iphos,25,30,30,1,MDOA,13.4540353,67.27017649999999
Liu_iphos,25,30,30,1,MDOA,13.70292354,68.5146177
