exact_toxicity,Formulation,Helper_lipid_ID,Comment,Lipid_name,Experiment_ID,Cargo_type,Model_type,Experiment_weight,split_name_for_normalization,toxicity_class
96.78333333333336,Lxue,DOPE,Tox,4-a3-9b2,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
53.92156863,Lin_peptide,DSPC,,e12-5,Lin_peptide,mRNA,MDA_MB,1.0,Lin_peptide,2
101.05,Lxue,DOPE,Tox,9-a2-7b2,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
103.5,Han_amidine,DOPE,Computed with aid lipid molwt as 865,6T-O12,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
92.5,Han_amidine,DOPE,Computed with aid lipid molwt as 865,8T-O12,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
118.0055402,xyu,DOPE,,GT-Ac8,Yu_Aminoglycoside,mRNA,IGROV1,1.0,Yu_Aminoglycoside,0
100.75333333333332,Lxue,DOPE,Tox,1-a3-7b,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
93.0,Han_amidine,DOPE,Computed with aid lipid molwt as 865,25T-O16,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
93.15,Han_a3,DOPE,,B25-4,Han_a3,mRNA,HepG2,1.0,Han_a3,0
111.2188366,xyu,DOPE,,GN-Ac8,Yu_Aminoglycoside,mRNA,IGROV1,1.0,Yu_Aminoglycoside,0
94.5,Han_amidine,DOPE,Computed with aid lipid molwt as 865,16T-O9,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
97.19333333333331,Lxue,DOPE,Tox,7-a2-7,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
107.0881226,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2737",2A9V-SC8,Lee_unsat,mRNA,IGROV1,1.0,Lee_unsat,0
112.6038781,xyu,DOPE,,HG-EP8,Yu_Aminoglycoside,mRNA,IGROV1,1.0,Yu_Aminoglycoside,0
99.84666666666668,Lxue,DOPE,Tox,8-a2-9b,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
94.5,Han_amidine,DOPE,Computed with aid lipid molwt as 865,25T-O12,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
94.11764706,Lin_peptide,DSPC,,a16-2,Lin_peptide,mRNA,MDA_MB,1.0,Lin_peptide,0
93.4,Han_a3,DOPE,,A10-2,Han_a3,mRNA,HepG2,1.0,Han_a3,0
102.56666666666666,Lxue,DOPE,Tox,2-a2-6b,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
97.5,Han_amidine,DOPE,Computed with aid lipid molwt as 865,8T-O16,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
92.5,Han_amidine,DOPE,Computed with aid lipid molwt as 865,15T-O14,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
103.5,Han_amidine,DOPE,Computed with aid lipid molwt as 865,17T-O9,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
101.7241379,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2700",2A2-3C,Lee_unsat,mRNA,IGROV1,1.0,Lee_unsat,0
101.3409962,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2755",6A3-SC6,Lee_unsat,mRNA,IGROV1,1.0,Lee_unsat,0
35.29411765,Lin_peptide,DSPC,,e14-4,Lin_peptide,mRNA,MDA_MB,1.0,Lin_peptide,2
97.39333333333332,Lxue,DOPE,Tox,12-a2-9,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
90.61302682,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2753",4A1-SC6,Lee_unsat,mRNA,IGROV1,1.0,Lee_unsat,0
102.5893958,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA4-Ep10,Miller_Zwitter,siRNA,HeLa,1.0,Miller_Zwitter,0
102.9593095,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA1-Ep16,Miller_Zwitter,siRNA,HeLa,1.0,Miller_Zwitter,0
100.5,Han_amidine,DOPE,Computed with aid lipid molwt as 865,14T-O16,Han_amidine,mRNA,HepG2,1.0,Han_amidine,0
89.4,Han_a3,DOPE,,B27-4,Han_a3,mRNA,HepG2,1.0,Han_a3,0
85.82375479,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2767",4A1-2C,Lee_unsat,mRNA,IGROV1,1.0,Lee_unsat,0
95.95,Lxue,DOPE,Tox,6-a2-7b2,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
92.45,Han_a3,DOPE,,B7-2,Han_a3,mRNA,HepG2,1.0,Han_a3,0
94.6,Han_a3,DOPE,,C28-4,Han_a3,mRNA,HepG2,1.0,Han_a3,0
100.3699137,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA1-Ac8,Miller_Zwitter,siRNA,HeLa,1.0,Miller_Zwitter,0
113.7931034,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2750",2A9-SC6,Lee_unsat,mRNA,IGROV1,1.0,Lee_unsat,0
96.30333333333331,Lxue,DOPE,Tox,5-a2-9b2,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
94.75,Lxue,DOPE,Tox,11-a3-9b2,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
102.88666666666666,Lxue,DOPE,Tox,11-a2-9,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
89.8467433,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2781",4A1-Cit,Lee_unsat,mRNA,IGROV1,1.0,Lee_unsat,0
107.891492,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA4-Ep12,Miller_Zwitter,siRNA,HeLa,1.0,Miller_Zwitter,0
93.1372549,Lin_peptide,DSPC,,e12-2,Lin_peptide,mRNA,MDA_MB,1.0,Lin_peptide,0
97.6,Lxue,DOPE,Tox,9-a2-7b,Xue_CAD_LNP,mRNA,HeLa,1.0,Xue_CAD_LNP,0
