smiles,quantified_toxicity,Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Comment,Dose/Cells,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,Experiment_ID,Cargo_type,Model_type,Experiment_weight,Sample_weight,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB,toxicity_class,unnormalized_toxicity
CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCCN2CCN(CCN)CC2)c(OC(=O)CCC(CC)CCCC)c1,0.8946,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,3-a3-9b2,3.0,7,6.651774695397254,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.8946
CCCCCCC(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)CCCCCC)c1,0.8956333333333333,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-6,2.0,6,6.305904780362723,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.8956333333333333
CCCCC(C)C(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)C(C)CCCC)c1,0.9692000000000001,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-6b,2.0,5,6.305904780362723,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9692000000000001
CCCCCCCC(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)CCCCCCC)c1,0.9176666666666669,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-7,2.0,7,6.35584894667675,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9176666666666669
CCCCCC(C)C(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)C(C)CCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-7b,2.0,6,6.35584894667675,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(CC)C(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)C(CC)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-7b2,2.0,5,6.35584894667675,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCCCCC(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)CCCCCCCC)c1,0.9748666666666667,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-8,2.0,8,6.403416900796057,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9748666666666667
CCCCC(C)CCC(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)CCC(C)CCC)c1,0.9690666666666669,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-8b,2.0,7,6.379915735856887,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9690666666666669
CCCCCCCCCC(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)CCCCCCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-9,2.0,9,6.448824518624765,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCC(C)CCC(=O)Oc1cc(CNCCCN2CCN(CCCN)CC2)cc(OC(=O)CCC(C)CCCCC)c1,0.9232333333333334,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,4-a2-9b,2.0,8,6.448824518624765,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9232333333333334
