smiles,quantified_delivery,unnormalized_delivery,quantified_toxicity,unnormalized_toxicity,Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Dosage,Comment,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,Experiment_ID,Purity,Mix_type,Cargo_type,Experimenter_ID,Model_type,Exposure_time,Delivery_target,Route_of_administration,Experiment_weight,Library_ID,Goal,Batch_or_individual_or_barcoded,Value_name,screen_id,Sample_weight,identifier,Mol,Num tails,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,split_name_for_normalization
CCCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCCCC)c1,,,0.9537,95.37,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-8,2.0,8.0,547.8250000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)CCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCC(C)CCC)c1,,,0.9693999999999999,96.94,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-8b,2.0,7.0,533.7980000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCCCCC)c1,,,1.0,102.28,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-9,2.0,9.0,575.8790000000004,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCC(C)CCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCC(C)CCCCC)c1,,,1.0,100.23,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-9b,2.0,8.0,575.8790000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)CCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCC(CC)CCCC)c1,,,0.9949333333333334,99.49333333333334,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-9b2,2.0,7.0,575.8790000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCC)c(CNCCCN(C)CCCN)c(OC(=O)C(C)CCCC)c1,,,0.9783666666666666,97.83666666666666,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a3-6b,3.0,5.0,619.8880000000003,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCCC)c(CNCCCN(C)CCCN)c(OC(=O)C(C)CCCCC)c1,,,0.9727666666666666,97.27666666666666,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a3-7b,3.0,6.0,661.9690000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)C(=O)Oc1cc(OC(=O)C(CC)CCCC)c(CNCCCN(C)CCCN)c(OC(=O)C(CC)CCCC)c1,,,0.9547333333333334,95.47333333333334,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a3-7b2,3.0,5.0,661.9690000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)CCC(=O)Oc1cc(OC(=O)CCC(C)CCCC)c(CNCCCN(C)CCCN)c(OC(=O)CCC(C)CCCC)c1,,,0.9824666666666668,98.24666666666668,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a3-8b,3.0,7.0,704.0500000000001,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCCCN(C)CCCN)c(OC(=O)CCC(CC)CCCC)c1,,,0.9813,98.13,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a3-9b2,3.0,7.0,746.1309999999999,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
